rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,funding_behavior_label,funding_behavior_reason,chips_trend_4d,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,B,Y,91.06,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,0,83.47,75.97,3264,欣銓,TPEX,櫃半導體,235.0,一般,3-5日延續,催化觀察,②短炒拉轎,"法人占比 185.78% / 5日 21.28%；外資 +3,897 張，投信 -1 張，自營 +613 張；分點主力 +3,774 張，占比 32.94%；籌碼4日上升 3/3，20日報酬 25.33%，距60日高點 -13.44%；今日法人占比相對5日均值突刺；外資方向與5日法人方向一致；分點主力買超占比偏高",3,追高風險,業績成長,52.26,40.59,3,21.28,32.94,25.33,2.84,1.71,-13.44,11.0,13.9,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 追高風險；題材 一般；資金 ②短炒拉轎；訊號 3-5日延續
2,B,Y,90.47,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,0,74.2,84.58,3265,台星科,TPEX,櫃半導體,186.5,一般,待確認,一般觀察,②短炒拉轎,"法人占比 139.52% / 5日 9.88%；外資 +1,117 張，投信 +0 張，自營 +154 張；分點主力 +1,055 張，占比 33.40%；籌碼4日上升 2/3，20日報酬 22.30%，距60日高點 -7.21%；今日法人占比相對5日均值突刺；外資方向與5日法人方向一致；分點主力買超占比偏高",2,回踩承接,尚未明確,6.55,10.73,3,9.88,33.4,22.3,3.61,1.6,-7.21,6.0,12.51,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 回踩承接；題材 一般；資金 ②短炒拉轎；訊號 待確認
3,B,Y,89.91,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,0,79.64,75.02,3374,精材,TPEX,櫃半導體,386.0,一般,3-5日延續,催化觀察,②短炒拉轎,"法人占比 131.25% / 5日 20.96%；外資 +4,911 張，投信 +3,336 張，自營 +61 張；分點主力 +8,158 張，占比 28.34%；籌碼4日上升 2/3，20日報酬 26.77%，距60日高點 -7.77%；今日法人占比相對5日均值突刺；外資方向與5日法人方向一致；分點主力買超占比偏高",2,回踩承接,業績成長,30.96,45.1,3,20.96,28.34,26.77,56.59,1.92,-7.77,13.0,12.63,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 回踩承接；題材 一般；資金 ②短炒拉轎；訊號 3-5日延續
4,B,Y,88.38,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,0,72.01,76.89,3680,家登,TPEX,櫃半導體,500.0,CoWoS,3-5日延續,催化觀察,①長線建倉,法人占比 14.87% / 5日 10.12%；外資 +30 張，投信 +45 張，自營 +73 張；分點主力 +104 張，占比 6.24%；籌碼4日上升 2/3，20日報酬 19.19%，距60日高點 -11.82%；外資方向與5日法人方向一致,2,整理待確認,業績成長,71.69,41.86,3,10.12,6.24,19.19,-3.85,1.79,-11.82,6.0,12.98,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 整理待確認；題材 CoWoS；資金 ①長線建倉；訊號 3-5日延續
5,B,Y,82.03,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,4,0,79.96,84.31,3324,雙鴻,TPEX,櫃其他電子,1140.0,散熱,3-5日延續,催化觀察,未明確,"法人占比 88.30% / 5日 31.27%；外資 +1,597 張，投信 +460 張，自營 +117 張；分點主力 +2,249 張，占比 38.01%；籌碼4日上升 1/3，20日報酬 20.76%，距60日高點 -2.15%；外資方向與5日法人方向一致；分點主力買超占比偏高",1,平台突破,業績成長,116.7,90.86,3,31.27,38.01,20.76,2.7,2.15,-2.15,11.0,13.12,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 最新月營收年增 > 0,MA60 在 MA120 之上,核心 4/5，加分 0/0；型態 早期起漲；結構 平台突破；題材 散熱；資金 未明確；訊號 3-5日延續
6,B,Y,78.88,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,4,0,68.83,82.46,6953,家碩,TPEX,櫃半導體,241.5,一般,待確認,暫不出手,未明確,法人占比 54.55% / 5日 39.72%；外資 +12 張，投信 +0 張，自營 +0 張；分點主力 +5 張，占比 15.63%；籌碼4日上升 2/3，20日報酬 15.00%，距60日高點 -2.23%；外資方向與5日法人方向一致；分點主力買超占比偏高,2,整理待確認,業績成長,39.04,16.55,2,39.72,15.63,15.0,1.9,1.2,-2.23,0.0,15.59,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 最新月營收年增 > 0,MA60 在 MA120 之上,核心 4/5，加分 0/0；型態 早期起漲；結構 整理待確認；題材 一般；資金 未明確；訊號 待確認
7,B,Y,77.97,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,4,0,67.02,80.17,7810,捷創科技,TPEX,櫃半導體,222.0,一般,待確認,暫不出手,未明確,法人占比 12.76% / 5日 9.18%；外資 +22 張，投信 +0 張，自營 +3 張；分點主力 +5 張，占比 4.46%；籌碼4日上升 1/3，20日報酬 22.99%，距60日高點 -5.93%；外資方向與5日法人方向一致,1,回踩承接,業績成長,109.78,105.84,3,9.18,4.46,22.99,-1.99,1.83,-5.93,0.0,16.22,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 最新月營收年增 > 0,MA60 在 MA120 之上,核心 4/5，加分 0/0；型態 早期起漲；結構 回踩承接；題材 一般；資金 未明確；訊號 待確認
8,B,N,86.48,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,5,4,0,71.8,67.65,6274,台燿,TPEX,櫃電子零組件,1490.0,AI,3-5日延續,催化觀察,未明確,法人占比 6.59% / 5日 -3.42%；外資 +258 張，投信 -52 張，自營 +29 張；分點主力 +427 張，占比 8.57%；籌碼4日上升 1/3，20日報酬 22.13%，距60日高點 -22.40%,1,結構未完成,業績成長,121.52,119.24,3,-3.42,8.57,22.13,-7.45,0.97,-22.4,14.0,14.62,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 結構未完成；題材 AI；資金 未明確；訊號 3-5日延續
9,B,N,84.14,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,5,4,0,64.69,64.85,3211,順達,TPEX,櫃電腦週邊,400.0,BBU,3-5日延續,催化觀察,未明確,"法人占比 7.40% / 5日 -2.70%；外資 +796 張，投信 +0 張，自營 -183 張；分點主力 +1,574 張，占比 14.15%；籌碼4日上升 3/3，20日報酬 29.45%，距60日高點 -19.19%",3,追高風險,業績成長,20.88,10.23,2,-2.7,14.15,29.45,-5.44,1.28,-19.19,13.0,8.73,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 追高風險；題材 BBU；資金 未明確；訊號 3-5日延續
10,B,N,84.1,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,5,4,0,62.02,67.98,6517,保勝光學,TPEX,櫃光電,71.6,光學,待確認,暫不出手,未明確,法人占比 27.61% / 5日 9.21%；外資 +119 張，投信 +0 張，自營 +0 張；分點主力 +128 張，占比 9.42%；籌碼4日上升 1/3，20日報酬 14.56%，距60日高點 -13.73%；外資方向與5日法人方向一致,1,整理待確認,業績成長,95.02,21.91,2,9.21,9.42,14.56,3.32,1.5,-13.73,0.0,16.28,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 整理待確認；題材 光學；資金 未明確；訊號 待確認
11,B,N,83.32,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,5,4,0,60.51,65.98,6651,全宇昕,TPEX,櫃半導體,150.5,一般,待確認,暫不出手,未明確,法人占比 30.99% / 5日 10.03%；外資 +69 張，投信 +0 張，自營 -3 張；分點主力 +24 張，占比 6.82%；籌碼4日上升 2/3，20日報酬 23.87%，距60日高點 -15.21%；今日法人占比相對5日均值突刺；外資方向與5日法人方向一致,2,整理待確認,業績成長,56.42,29.45,3,10.03,6.82,23.87,6.74,1.43,-15.21,0.0,15.19,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 整理待確認；題材 一般；資金 未明確；訊號 待確認
12,B,N,81.85,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,5,4,0,60.59,58.52,8299,群聯,TPEX,櫃半導體,2150.0,存儲記憶體,待確認,暫不出手,未明確,法人占比 -2.06% / 5日 6.33%；外資 -48 張，投信 -3 張，自營 -70 張；分點主力 -3 張，占比 -0.11%；籌碼4日上升 2/3，20日報酬 22.16%，距60日高點 -19.48%,2,結構未完成,業績成長,377.55,326.59,3,6.33,-0.11,22.16,-12.24,0.6,-19.48,12.0,16.56,量比介於 0.5 到 3.2 | 新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 最新月營收年增 > 0,,核心 5/5，加分 0/0；型態 早期起漲；結構 結構未完成；題材 存儲記憶體；資金 未明確；訊號 待確認
