rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,funding_behavior_label,funding_behavior_reason,chips_trend_4d,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,85.73,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,2,62.19,75.9,3141,晶宏,TPEX,櫃半導體,90.8,AUTO:AI,3-5日延續,催化觀察,未明確,法人占比 -4.12% / 5日 -1.35%；外資 -336 張，投信 +0 張，自營 -8 張；分點主力 -160 張，占比 -3.79%；籌碼4日上升 0/3，20日報酬 24.21%，距60日高點 -17.45%；外資方向與5日法人方向一致,0,整理待確認,業績成長,79.77,43.41,3,-1.35,-3.79,24.21,15.82,0.87,-17.45,5.0,13.99,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | EPS/獲利有支撐 | 流動性/財報品質達基本門檻 | 估值不極端,,核心 6/6，加分 2/2；型態 早期起漲；結構 整理待確認；題材 AUTO:AI；資金 未明確；訊號 3-5日延續
2,B,Y,85.48,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,2,74.98,89.48,3044,健鼎,TWSE,電子零組件,508.0,AI,3-5日延續,催化觀察,②短炒拉轎,法人占比 47.98% / 5日 4.09%；外資 +293 張，投信 +343 張，自營 +5 張；分點主力 +389 張，占比 15.12%；籌碼4日上升 2/3，20日報酬 5.18%，距60日高點 -15.05%；今日法人占比相對5日均值突刺；外資方向與5日法人方向一致；分點主力買超占比偏高,2,整理待確認,業績成長,65.48,54.67,3,4.09,15.12,5.18,-10.25,0.89,-15.05,10.0,11.06,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻 | 估值不極端,EPS/獲利有支撐,核心 5/6，加分 2/2；型態 早期起漲；結構 整理待確認；題材 AI；資金 ②短炒拉轎；訊號 3-5日延續
3,B,Y,85.42,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,2,73.82,90.63,3006,晶豪科,TWSE,半導體,290.5,一般,5-10日波段,波段布局,未明確,"法人占比 -28.80% / 5日 4.29%；外資 -6,834 張，投信 +10 張，自營 -451 張；分點主力 -5,748 張，占比 -28.56%；籌碼4日上升 1/3，20日報酬 6.41%，距60日高點 -8.93%",1,回踩承接,業績成長,605.24,474.88,3,4.29,-28.56,6.41,14.37,1.21,-8.93,13.0,14.65,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻 | 估值不極端,EPS/獲利有支撐,核心 5/6，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；資金 未明確；訊號 5-10日波段
4,B,Y,84.13,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,2,73.28,84.85,2330,台積電,TWSE,半導體,2410.0,AUTO:AI,待確認,一般觀察,未明確,"法人占比 -39.47% / 5日 8.80%；外資 -8,251 張，投信 -181 張，自營 -400 張；分點主力 -3,047 張，占比 -17.40%；籌碼4日上升 0/3，20日報酬 0.42%，距60日高點 -4.93%",0,結構未完成,業績成長,53.32,55.29,3,8.8,-17.4,0.42,-3.98,1.21,-4.93,14.0,15.33,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻 | 估值不極端,EPS/獲利有支撐,核心 5/6，加分 2/2；型態 早期起漲；結構 結構未完成；題材 AUTO:AI；資金 未明確；訊號 待確認
5,B,Y,83.81,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,2,74.66,81.51,6196,帆宣,TWSE,其他電子,511.0,CoWoS,3-5日延續,催化觀察,①長線建倉,法人占比 6.50% / 5日 6.20%；外資 +71 張，投信 +26 張，自營 -16 張；分點主力 -561 張，占比 -28.16%；籌碼4日上升 2/3，20日報酬 0.00%，距60日高點 -15.82%；外資方向與5日法人方向一致,2,整理待確認,業績成長,83.89,102.08,3,6.2,-28.16,0.0,-9.07,1.55,-15.82,8.0,11.84,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻 | 估值不極端,EPS/獲利有支撐,核心 5/6，加分 2/2；型態 早期起漲；結構 整理待確認；題材 CoWoS；資金 ①長線建倉；訊號 3-5日延續
6,B,Y,82.59,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,5,5,2,67.63,84.21,2890,永豐金,TWSE,金融業,43.7,AUTO:AI,3-5日延續,催化觀察,未明確,"法人占比 31.57% / 5日 5.76%；外資 -2,754 張，投信 +7,980 張，自營 +755 張；分點主力 +4,083 張，占比 12.83%；籌碼4日上升 1/3，20日報酬 10.35%，距60日高點 -0.91%；今日法人占比相對5日均值突刺",1,平台突破,一次性轉盈風險,49.48,50.57,3,5.76,12.83,10.35,11.99,1.27,-0.91,13.0,8.84,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻 | 估值不極端,EPS/獲利有支撐,核心 5/6，加分 2/2；型態 強勢續攻；結構 平台突破；題材 AUTO:AI；資金 未明確；訊號 3-5日延續
7,B,Y,81.98,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,2,64.87,84.62,3034,聯詠,TWSE,半導體,547.0,一般,待確認,暫不出手,未明確,法人占比 33.68% / 5日 31.32%；外資 +647 張，投信 +104 張，自營 +1 張；分點主力 +225 張，占比 9.49%；籌碼4日上升 1/3，20日報酬 7.47%，距60日高點 -9.74%；外資方向與5日法人方向一致,1,回踩承接,業績成長,26.33,24.03,3,31.32,9.49,7.47,-3.53,0.73,-9.74,10.0,14.79,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻 | 估值不極端,EPS/獲利有支撐,核心 5/6，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；資金 未明確；訊號 待確認
8,B,Y,81.86,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,2,70.69,76.74,2412,中華電,TWSE,通訊網路,140.5,AI,3-5日延續,催化觀察,未明確,"法人占比 112.35% / 5日 49.88%；外資 +9,937 張，投信 +113 張，自營 -64 張；分點主力 +1,392 張，占比 19.67%；籌碼4日上升 0/3，20日報酬 3.31%，距60日高點 -3.77%；外資方向與5日法人方向一致；分點主力買超占比偏高",0,回踩承接,業績成長,25.61,13.56,3,49.88,19.67,3.31,-2.77,1.59,-3.77,12.0,12.35,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻 | 估值不極端,EPS/獲利有支撐,核心 5/6，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
9,B,Y,80.04,early,早期起漲,Y,Y,early,早期起漲,N,N,,,5,5,1,70.41,89.98,2395,研華,TWSE,電腦週邊,674.0,機器人,待確認,一般觀察,未明確,法人占比 25.60% / 5日 -9.55%；外資 +821 張，投信 +45 張，自營 -18 張；分點主力 +32 張，占比 2.18%；籌碼4日上升 2/3，20日報酬 0.00%，距60日高點 -7.29%,2,結構未完成,業績成長,87.52,82.83,3,-9.55,2.18,0.0,34.93,1.47,-7.29,12.0,15.03,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻,EPS/獲利有支撐,核心 5/6，加分 1/2；型態 早期起漲；結構 結構未完成；題材 機器人；資金 未明確；訊號 待確認
10,B,Y,79.97,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,1,68.92,91.52,4576,大銀微系統,TWSE,電機機械,242.0,矽光子,3-5日延續,催化觀察,①長線建倉,法人占比 8.59% / 5日 3.68%；外資 +387 張，投信 +0 張，自營 +121 張；分點主力 +551 張，占比 14.29%；籌碼4日上升 2/3，20日報酬 7.32%，距60日高點 -6.20%；外資方向與5日法人方向一致,2,回踩承接,業績成長,98.05,73.58,3,3.68,14.29,7.32,2.54,1.21,-6.2,6.0,11.74,最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA60 在 MA120 之上 | 新聞/題材有催化且風險不高 | 流動性/財報品質達基本門檻,EPS/獲利有支撐,核心 5/6，加分 1/2；型態 早期起漲；結構 回踩承接；題材 矽光子；資金 ①長線建倉；訊號 3-5日延續
