rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,funding_behavior_label,funding_behavior_reason,chips_trend_4d,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,93.81,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,82.32,91.17,2324,仁寶,TWSE,電腦週邊,36.95,AI,3-5日延續,催化觀察,未明確,"法人占比 27.28% / 5日 18.91%；外資 +12,932 張，投信 -2 張，自營 +180 張；分點主力 +11,150 張，占比 25.85%；籌碼4日上升 1/3，20日報酬 0.96%，距60日高點 -22.62%；外資方向與5日法人方向一致；分點主力買超占比偏高",1,結構未完成,業績成長,58.38,32.07,3,18.91,25.85,0.96,18.05,0.95,-22.62,13.0,10.92,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 早期起漲；結構 結構未完成；題材 AI；資金 未明確；訊號 3-5日延續
2,A,Y,93.69,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,5,4,4,80.14,93.29,6214,精誠,TWSE,資訊服務,153.0,AI,3-5日延續,催化觀察,未明確,法人占比 6.33% / 5日 9.46%；外資 +135 張，投信 -2 張，自營 +30 張；分點主力 +220 張，占比 8.49%；籌碼4日上升 1/3，20日報酬 6.62%，距60日高點 -5.56%；外資方向與5日法人方向一致,1,回踩承接,業績成長,76.9,50.34,3,9.46,8.49,6.62,25.41,1.21,-5.56,7.0,11.89,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 強勢續攻；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
3,A,Y,93.22,continuation,強勢續攻,Y,Y,continuation,強勢續攻,N,N,,,5,4,4,81.95,88.65,3704,合勤控,TWSE,通訊網路,48.8,AI,3-5日延續,催化觀察,未明確,"法人占比 53.89% / 5日 22.31%；外資 +2,314 張，投信 +0 張，自營 -17 張；分點主力 +1,852 張，占比 43.45%；籌碼4日上升 2/3，20日報酬 7.61%，距60日高點 -5.06%；外資方向與5日法人方向一致；分點主力買超占比偏高",2,回踩承接,業績成長,47.87,40.8,3,22.31,43.45,7.61,33.52,1.02,-5.06,4.0,13.41,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 強勢續攻；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
4,A,Y,92.99,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,80.05,89.9,2408,南亞科,TWSE,半導體,445.0,存儲記憶體,5-10日波段,波段布局,①長線建倉,"法人占比 5.73% / 5日 10.40%；外資 +7,255 張，投信 +3,917 張，自營 -3,023 張；分點主力 +26,667 張，占比 22.83%；籌碼4日上升 2/3，20日報酬 2.18%，距60日高點 -11.88%；外資方向與5日法人方向一致；分點主力買超占比偏高",2,整理待確認,業績成長,719.61,690.36,3,10.4,22.83,2.18,38.63,1.74,-11.88,15.0,17.12,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 早期起漲；結構 整理待確認；題材 存儲記憶體；資金 ①長線建倉；訊號 5-10日波段
5,A,Y,92.66,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,79.52,88.9,6579,研揚,TWSE,電腦週邊,179.5,AI,3-5日延續,催化觀察,未明確,法人占比 30.05% / 5日 10.23%；外資 +512 張，投信 +0 張，自營 +46 張；分點主力 +450 張，占比 24.23%；籌碼4日上升 3/3，20日報酬 6.85%，距60日高點 -5.28%；外資方向與5日法人方向一致；分點主力買超占比偏高,3,回踩承接,業績成長,47.1,34.24,3,10.23,24.23,6.85,19.27,1.73,-5.28,4.0,13.63,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
6,A,Y,92.35,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,80.0,86.77,2395,研華,TWSE,電腦週邊,633.0,AI,5-10日波段,波段布局,未明確,法人占比 -0.86% / 5日 0.24%；外資 -164 張，投信 -16 張，自營 +146 張；分點主力 -43 張，占比 -1.10%；籌碼4日上升 1/3，20日報酬 17.22%，距60日高點 0.00%,1,平台突破,業績成長,73.39,46.7,3,0.24,-1.1,17.22,36.28,1.01,0.0,12.0,18.93,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 早期起漲；結構 平台突破；題材 AI；資金 未明確；訊號 5-10日波段
7,A,Y,91.75,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,4,4,74.36,90.81,6166,凌華,TWSE,電腦週邊,139.0,存儲記憶體,待確認,一般觀察,未明確,法人占比 6.88% / 5日 -6.59%；外資 +372 張，投信 +0 張，自營 +20 張；分點主力 +230 張，占比 4.03%；籌碼4日上升 2/3，20日報酬 3.35%，距60日高點 -20.11%,2,結構未完成,業績成長,25.89,56.17,3,-6.59,4.03,3.35,24.66,1.27,-20.11,6.0,15.5,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 早期起漲；結構 結構未完成；題材 存儲記憶體；資金 未明確；訊號 待確認
8,A,Y,91.51,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,5,4,4,79.81,82.8,6669,緯穎,TWSE,電腦週邊,6175.0,AI,3-5日延續,催化觀察,未明確,法人占比 7.05% / 5日 5.43%；外資 +281 張，投信 -118 張，自營 -17 張；分點主力 +170 張，占比 8.21%；籌碼4日上升 1/3，20日報酬 22.52%，距60日高點 -3.52%；外資方向與5日法人方向一致,1,回踩承接,業績成長,29.79,25.87,3,5.43,8.21,22.52,10.66,1.25,-3.52,12.0,12.04,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 強勢續攻；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
9,A,Y,91.34,early,早期起漲,Y,Y,early,早期起漲,N,N,,,5,4,4,72.7,90.84,2359,所羅門,TWSE,其他電子,145.0,AI,3-5日延續,催化觀察,未明確,"法人占比 31.39% / 5日 8.27%；外資 +2,374 張，投信 +0 張，自營 +183 張；分點主力 +18 張，占比 0.42%；籌碼4日上升 3/3，20日報酬 4.32%，距60日高點 -6.15%；今日法人占比相對5日均值突刺；外資方向與5日法人方向一致",3,回踩承接,一次性轉盈風險,35.56,41.03,3,8.27,0.42,4.32,16.0,1.33,-6.15,8.0,12.03,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
10,A,Y,90.77,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,5,4,4,77.39,82.09,2059,川湖,TWSE,電子零組件,9470.0,AI,3-5日延續,催化觀察,未明確,法人占比 -0.43% / 5日 3.86%；外資 -76 張，投信 +74 張，自營 -2 張；分點主力 +93 張，占比 11.52%；籌碼4日上升 1/3，20日報酬 14.79%，距60日高點 -1.10%,1,平台突破,業績成長,220.52,157.24,3,3.86,11.52,14.79,80.38,1.22,-1.1,11.0,18.53,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 5/5，加分 4/4；型態 強勢續攻；結構 平台突破；題材 AI；資金 未明確；訊號 3-5日延續
